210,23-JUL-20,Thursday,1330,1,2-EAST
212,23-JUL-20,Thursday,1332,7,9-WEST
211,23-JUL-20,Thursday,1333,4,8-WEST
213,23-JUL-20,Thursday,1515,2,4-CENTRAL
215,23-JUL-20,Thursday,1615,2,5-CENTRAL
214,23-JUL-20,Thursday,1616,5,4-CENTRAL
216,23-JUL-20,Thursday,1617,5,8-WEST
219,23-JUL-20,Thursday,1641,6,8-WEST
218,23-JUL-20,Thursday,1643,7,2-CENTRAL
217,23-JUL-20,Thursday,1646,9,2-WEST
220,23-JUL-20,Thursday,1732,7,8-WEST
221,23-JUL-20,Thursday,1759,7,5-WEST
222,23-JUL-20,Thursday,1821,1,8-WEST
223,24-JUL-20,Friday,1201,5,5-WEST
225,24-JUL-20,Friday,1236,4,5-WEST
224,24-JUL-20,Friday,1244,10,4-CENTRAL
226,24-JUL-20,Friday,1256,7,8-WEST
227,24-JUL-20,Friday,1415,3,2-CENTRAL
228,24-JUL-20,Friday,1504,1,8-WEST
229,24-JUL-20,Friday,1520,1,8-WEST
230,24-JUL-20,Friday,1613,7,4-EAST
231,24-JUL-20,Friday,1631,10,4-CENTRAL
232,24-JUL-20,Friday,1658,5,4-CENTRAL
233,25-JUL-20,Saturday,1130,6,5-WEST
234,25-JUL-20,Saturday,1206,8,2-WEST
235,25-JUL-20,Saturday,1246,2,4-EAST
236,25-JUL-20,Saturday,1349,4,8-WEST
238,25-JUL-20,Saturday,1420,3,9-WEST
237,25-JUL-20,Saturday,1424,2,4-CENTRAL
239,25-JUL-20,Saturday,1445,2,5-WEST
240,25-JUL-20,Saturday,1552,5,4-CENTRAL
